so,source_file,customer,customer_street_address,customer_city,customer_state,customer_zip,order_date,ship_to_name,ship_to_address,ship_to_city,ship_to_state,ship_to_zip,fuel_brand,store_brand,store_id,site_id,site_address,site_city,site_state,state,site_zip,service_requested,service_date,technician,new_install/90_days,system,equipment_replacement,reason_for_order,equipment_category,impact_to_site,interface,firmware,last_service_date,min_temp_F,max_temp_F,avg_temp_F,precipitation_inches,humidity_precentag,snowfall_inches,windspeed_mph,sunshine_hours
32706,"SO#32706 Texaco #389636 - Fort Payne, AL - FMD16CSS3-GSW-C5_FMD12CSS3-GSW-C0_PVSPS63-UD-CRCH-1.xlsx","Dualite, Inc",One Dualite Lane,Williamsburg,OH,45176,11/22/2024,"Dualite, Inc",One Dualite Lane,Williamsburg,OH,45176,Texaco,,,389636,1907 Gault Ave. N.,Forth Payne,AL,Alabama,35971,FALSE,,,,,,,,,PVCU-RF,3.08,7/5/2025,70,90,80,2.5,80.8,0,5.2,11.1
32707,"SO#32707 Citgo #34666177 - Sarasota, FL - FMD36SEP-GSR-DP_ FMT6P-CCR PVSPS42-UCC-1.xlsx",SignResource,242 Industrial Pkwy,Jacksboro,TN,37757,11/25/2024,SignResource,242 Industrial Pkwy,Jacksboro,TN,37757,Citgo,,,34666177,1634 N. Washington Blvd.,Sarasota,FL,Florida,34236,FALSE,,,,,,,,,PVCU-RF,3.08,7/5/2025,80,100,90,5,60.7,0,11.9,10.2
32708,"SO#32708 Citgo 1280 Turnpike St - Stoughton, MA - PVCU-NX-POS-PSPT.xlsx",,1580 Turnpike Street,Stoughton,MA,2072,11/25/2024,,1580 Turnpike Street,Stoughton,MA,2072,Citgo,,,,1280 Turnpike St.,Stoughton,MA,Massachusetts,,FALSE,,,,,,,,,PVCU-POS-PSPT-CG,3.09,7/5/2025,70,90,80,3.9,73.4,0,13.5,11.1
32709,"SO#32709 Citgo #34666151 - Sarasota, FL - FMD24SEP-GSR-DP_ FMT6P-CCR PVSPS42-UCC-1.xlsx",SignResource,242 Industrial Pkwy,Jacksboro,TN,37757,11/25/2024,SignResource,242 Industrial Pkwy,Jacksboro,TN,37757,Citgo,,,34666151,4529 Bee Ridge Rd.,Sarasota,FL,Florida,34233,FALSE,,,,,,,,,PVCU-POS-VFON,3.08,7/5/2025,80,100,90,5,60.7,0,11.9,10.2
32710,"SO#32710 Chevron #TBD - Krikland, WA - FMD10CSS3-GSW-C1_FMD8CTS3-GSW-C2_PVSPS82X62-UD-CRCH-1.xlsx",SignResource,242 Industrial Pkwy.,Jacksboro,TN,37757,11/25/2024,SignResource,242 Industrial Pkwy.,Jacksboro,TN,37757,Chevron,,,,13272 100th Ave.,Kirkland,WA,Washington,,FALSE,,,,,,,,,PVCU-POS-KIT,3.08,7/5/2025,70,90,80,4.9,78.7,0,13.7,8.1
41000,"SO#41000 Chevron #TBD - W Jordan, UT - FMD8CTS3-GSW-C1-C2_PVSP42-UD-2.xlsx",SignResource,5930 Shull St.,Bell Gardens,CA,90201,11/13/2024,SignResource,5930 Shull St.,Bell Gardens,CA,90201,Chevron,,,,3963 West 900 South,W Jordan,UT,Utah,84088,FALSE,,,,,,,,,PVCU-RF,3.08,7/5/2025,70,90,80,2.2,72.2,0,8.5,8.1
41001,"SO#41001 Chevron #TBD - Farmington, UT - FMD16CCS3-W-C1-C2_PVSPS42-UD-1.xlsx",,,,,,11/13/2024,,,,,,,,,,,,,Unknown,,FALSE,,,,,,,,,PVCU-POS-VFON,3.08,7/5/2025,,,,,,,,
41002,"SO#41002 Chevron #TBD - Ogden, UT - FMD22CSS3-GSW-C1-C2_FMD12CSS3-GSW-C1_C2_PVSPS42-UD-2.xlsx",SignResource,5930 Shull St.,Bell Gardens,CA,90201,11/13/2024,SignResource,5930 Shull St.,Bell Gardens,CA,90201,Chevron,,,,1855 Skyline Drive So,Ogden,UT,Utah,84403,FALSE,,,,,,,,,PVCU-RF,3.08,7/5/2025,70,90,80,2.2,72.2,0,8.5,8.1
41003,"SO#41003 Chevron #TBD - Salt Lake City, UT - FMD16CSS3-GSW-C1 PVSP21-U-2.xlsx",SignResource,5930 Shull St.,Bell Gardens,CA,90201,11/13/2024,SignResource,5930 Shull St.,Bell Gardens,CA,90201,Chevron,,,,875 South State Street,Salt Lake City,UT,Utah,84111,FALSE,,,,,,,,,PVCU-POS-VFON,3.08,7/5/2025,70,90,80,2.2,72.2,0,8.5,8.1
41004,"SO#41004 Chevron #TBD - Layton, UT - FMD16CSS3-GSW-C1 PVSPS21-U-1.xlsx",SignResource,5930 Shull St.,Bell Gardens,CA,90201,11/13/2024,SignResource,5930 Shull St.,Bell Gardens,CA,90201,Chevron,,,,1165 East Gentil,Layton,UT,Utah,84041,FALSE,,,,,,,,,PVCU-POS-VFON,3.08,7/5/2025,70,90,80,2.2,72.2,0,8.5,8.1
